Fall Energy,Intoxication,Fragility,Unfamiliar Activity,Cognition,Environment,Consciousness
HARD FALL,INTOX'D,NURSING HOME,DOG,PARKINSON,SHOWER,SYNCOP
STAIR,BEERS,NH,ROLLERSKATING,ALZHEIMERS,STEPPED ON,DIZZY
STEP,ALCOHOL,STAIR CHAIR,MOWING,DEMENTIA,TRIP,PASSED OUT
OUT OF,ETOH,COMMODE,EMPTYING,DEMENTED,TRANSFERRING,BLOOD SUGAR
FELL OFF,INTOXICATED,CARE HOME,TIEING SHOES,PD,ICE,INSULIN
BAD CHAIR,DRINKING,WALKER,CHANGE,,SOCKS,HYPOGLYCEMIA
FLIPPED,CLUB,OSTOMY BAG,COUGHING,,WET,LIGHTHEADED
OFF OF,NYE,WHEELCHAIR,RUSHING,,TANGLED,ORTHOSTASIS
FELL FROM,,WEAKNESS,PAINTING,,SOLES,CANT RECALL
FELL BACKWARDS,,CARETAKER,DECORATIONS,,RUG,LIGHTHEADED
FALL FROM,,UNABLE TO AMBULATE,WALKING FAST,,CLUTTER,HYPERGLYCEMIA
FALLING OUT,,CANE,HANGING,,CORDS,
ESCALATOR,,FREQ FALLS,DANCING,,INTANGLED,
LADDER,,WEAK,BOCI BALL,,CARPET,
FLIGHT,,CARETAKER,TENNIS,,CAUGHT,
STANDING ON,,LIVES IN A FACILITY,ARGUMENT,,SLIPPED,
GUTTERS,,ALF,PHONE,,MOPPING,
ROOF,,GAVE OUT,PUTTING ON,,UNEVEN,
CHRISTMAS LIGHTS,,FATIGUE,BASEBALL,,WAXED FLOOR,
PORCH,,INVALID,LEG LIFTS,,,
LADER,,TRANSFERRING,TIEING SHOES,,,
,,ASSISTED LIVING FACILITY,CARRYING,,,
,,BUCKLED,EMPTYING,,,
,,ECF,LIFTING,,,
,,DEHYDRATION,REACHING INTO,,,
,,FOLEY BAG,ADJUSTING,,,
,,FOOSH,MOVING,,,
,,GAVE WAY,GOLF,,,
,,HYPOXIA,,,,
,,HYPONATREMIA,,,,
,,REHAB,,,,
,,WEAKNESS,,,,
,,WALKER,,,,
,,UNSTEADY,,,,
,,PIVOT,,,,
